Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.19     28.859    12.153     0.000    16.706  4993850   ActiveRecord::Associations::BelongsToAssociation#reset 
  0.19     16.435    12.123     0.000     4.312  6001428   ActiveRecord::Reflection::MacroReflection#== 
  0.19     45.850    12.070     0.000    33.780  6059262   ActiveRecord::Delegation::ClassMethods#relation_class_for 
  0.19     12.058    12.058     0.000     0.000 18279577   String#freeze 
  0.18     32.102    11.991     0.000    20.111  4059740  *ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.18     17.223    11.991     0.000     5.233  2975326   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.18     15.666    11.864     0.000     3.802  4030346   ActiveRecord::Inheritance::ClassMethods#finder_needs_type_condition? 
  0.18     18.376    11.853     0.000     6.523  4159842   #<Module:0x00000002b17388>#=== 
  0.18     11.848    11.848     0.000     0.000  5058026   Hash#initialize_copy 
  0.18     11.837    11.837     0.000     0.000 18001206   Fixnum#<=> 
  0.18     20.048    11.833     0.000     8.216  2028402   MonitorMixin#mon_exit 
  0.18     11.688    11.688     0.000     0.000 14113075   Kernel#block_given? 
  0.18     54.077    11.618     0.000    42.459  3000201   ActiveRecord::Inheritance::ClassMethods#discriminate_class_for_record 
  0.18    853.345    11.541     0.000   841.804  2027447   ActiveRecord::Associations::Association#association_scope 
  0.18    625.334    11.538     0.000   613.796  4056810   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish 
  0.18     17.203    11.461     0.000     5.742  2028402   MonitorMixin#mon_enter 
  0.18     11.440    11.440     0.000     0.000 15187991   Kernel#nil? 
  0.18     19.627    11.408     0.000     8.219  6000402  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column 
  0.17     51.028    11.369     0.000    39.659  2028402   ActiveRecord::QueryMethods#collapse_wheres 
  0.17     14.557    11.174     0.000     3.383  2028402   Arel::SelectManager#from 
  0.17     11.161    11.161     0.000     0.000  6085215   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.17     17.381    11.113     0.000     6.268  2000476   ActiveRecord::Associations::AssociationScope#table_alias_for 
  0.17    107.979    11.062     0.000    96.917  2029870   ActiveRecord::Scoping::Named::ClassMethods#default_scoped 
